repeat,seed,train_size,test_size,test_mse,model_size,sparsity,train_time,n_selected,selected_features,best_alpha,iteration,algo
50,92,56,15,0.20177020968733278,47,0.9885029354207436,14.59999418258667,47,"[33, 64, 72, 313, 314, 414, 579, 584, 623, 791, 858, 890, 1130, 1280, 1281, 1302, 1424, 1523, 1527, 1591, 1638, 1761, 1809, 1819, 1826, 1875, 2026, 2033, 2094, 2141, 2154, 2264, 2505, 2563, 2926, 3109, 3302, 3378, 3476, 3545, 3643, 3846, 3860, 4002, 4046, 4047, 4069]",0.01,50,lasso_cv
51,93,56,15,0.15993384497851076,49,0.988013698630137,18.121152639389038,49,"[72, 243, 584, 623, 653, 858, 1130, 1238, 1280, 1302, 1355, 1363, 1424, 1441, 1523, 1525, 1584, 1635, 1638, 1761, 1801, 1809, 1826, 1854, 2026, 2139, 2161, 2183, 2241, 2461, 2491, 2563, 2693, 2989, 3104, 3109, 3225, 3378, 3478, 3513, 3514, 3545, 3555, 3597, 3904, 3949, 4002, 4003, 4069]",0.01,51,lasso_cv
52,94,56,15,0.1907809588246596,49,0.988013698630137,16.917644262313843,49,"[32, 58, 72, 133, 230, 404, 541, 588, 623, 682, 711, 858, 941, 1064, 1130, 1209, 1276, 1280, 1293, 1363, 1424, 1435, 1477, 1584, 1635, 1638, 1761, 1819, 1935, 2006, 2026, 2278, 2305, 2344, 2461, 2473, 2563, 2814, 2873, 3054, 3102, 3103, 3225, 3317, 3365, 3513, 3688, 3904, 4003]",0.01,52,lasso_cv
53,95,56,15,0.12139081569715289,47,0.9885029354207436,16.125742435455322,47,"[72, 189, 281, 414, 584, 597, 623, 653, 889, 1124, 1130, 1206, 1209, 1278, 1280, 1293, 1301, 1363, 1424, 1441, 1523, 1527, 1584, 1635, 1638, 1647, 1761, 1801, 1826, 1848, 1858, 2026, 2094, 2344, 2461, 2563, 2738, 2873, 3103, 3104, 3225, 3545, 3751, 3754, 3961, 3972, 4002]",0.01,53,lasso_cv
54,96,56,15,0.17102299834780973,54,0.9867906066536204,17.21564292907715,54,"[72, 133, 243, 533, 553, 567, 623, 790, 832, 858, 941, 1100, 1130, 1206, 1277, 1278, 1280, 1282, 1293, 1363, 1424, 1515, 1761, 1801, 1826, 1856, 2026, 2116, 2241, 2344, 2461, 2473, 2563, 2566, 2627, 2873, 2960, 3103, 3104, 3190, 3225, 3229, 3310, 3532, 3666, 3668, 3754, 3922, 3925, 3961, 4002, 4003, 4044, 4074]",0.01,54,lasso_cv
55,97,56,15,0.14342681173812435,51,0.9875244618395304,17.8108332157135,51,"[22, 24, 58, 72, 166, 188, 281, 364, 607, 623, 653, 813, 858, 946, 1130, 1276, 1280, 1283, 1293, 1424, 1523, 1527, 1584, 1635, 1638, 1639, 1761, 1809, 1826, 2026, 2094, 2115, 2183, 2241, 2302, 2461, 2473, 2563, 2873, 3076, 3103, 3104, 3225, 3477, 3513, 3538, 3695, 4002, 4003, 4049, 4069]",0.01,55,lasso_cv
56,98,56,15,0.2964576893110014,46,0.988747553816047,15.160001277923584,46,"[11, 25, 58, 72, 281, 588, 623, 858, 869, 1039, 1100, 1130, 1209, 1302, 1363, 1424, 1584, 1593, 1635, 1638, 1761, 2026, 2094, 2241, 2308, 2344, 2461, 2473, 2483, 2563, 2626, 2873, 3102, 3104, 3225, 3310, 3312, 3322, 3415, 3490, 3555, 3609, 3720, 3904, 3998, 4002]",0.01,56,lasso_cv
57,99,56,15,0.1682396603888887,53,0.9870352250489237,16.45614218711853,53,"[11, 33, 40, 58, 72, 281, 314, 418, 457, 584, 623, 705, 858, 973, 1130, 1132, 1302, 1363, 1424, 1584, 1761, 1826, 1854, 1874, 1901, 1950, 1959, 2026, 2115, 2116, 2183, 2241, 2286, 2461, 2483, 2563, 2738, 2814, 3104, 3205, 3225, 3234, 3310, 3513, 3666, 3695, 3748, 3751, 3770, 3904, 3961, 4002, 4003]",0.01,57,lasso_cv
58,100,56,15,0.4509487926841096,44,0.9892367906066536,18.147494316101074,44,"[37, 72, 75, 132, 148, 364, 496, 555, 584, 651, 767, 814, 1031, 1206, 1278, 1302, 1305, 1515, 1523, 1524, 1638, 1647, 1761, 1826, 1959, 2026, 2094, 2161, 2241, 2304, 2319, 2469, 2512, 2563, 2600, 2873, 2935, 3287, 3406, 3478, 3692, 3738, 4002, 4003]",0.01,58,lasso_cv
59,101,56,15,0.6403028770245619,19,0.9953522504892368,15.378403425216675,19,"[314, 623, 971, 1122, 1209, 1278, 1302, 1311, 1501, 1515, 1523, 1587, 1761, 2241, 2563, 2771, 3310, 3773, 4003]",0.1,59,lasso_cv
60,102,56,15,0.25468654397647555,49,0.988013698630137,15.077282190322876,49,"[27, 68, 147, 215, 313, 352, 363, 364, 414, 541, 584, 588, 623, 691, 767, 883, 896, 1039, 1130, 1206, 1278, 1280, 1282, 1302, 1363, 1424, 1523, 1527, 1553, 1587, 1761, 1801, 1819, 2026, 2528, 2563, 2873, 3103, 3104, 3225, 3303, 3329, 3378, 3464, 3477, 3484, 3513, 4002, 4069]",0.01,60,lasso_cv
61,103,56,15,0.8847529351095348,50,0.9877690802348337,12.617864847183228,50,"[33, 68, 74, 148, 243, 287, 418, 541, 623, 858, 863, 1130, 1276, 1281, 1424, 1515, 1523, 1584, 1638, 1647, 1761, 1826, 2026, 2040, 2161, 2241, 2344, 2505, 2563, 2627, 2693, 2738, 2771, 2873, 2935, 3054, 3102, 3225, 3229, 3310, 3378, 3514, 3538, 3666, 3668, 3846, 3922, 4002, 4003, 4074]",0.01,61,lasso_cv
62,104,56,15,0.2523246352094601,50,0.9877690802348337,16.24753165245056,50,"[11, 63, 72, 236, 330, 539, 574, 582, 623, 653, 858, 973, 1100, 1122, 1127, 1130, 1169, 1207, 1209, 1292, 1478, 1597, 1637, 1680, 1761, 1836, 1854, 2026, 2087, 2116, 2241, 2563, 2738, 2924, 2929, 2935, 2989, 3054, 3102, 3225, 3377, 3466, 3513, 3532, 3534, 3949, 4002, 4003, 4017, 4074]",0.01,62,lasso_cv
63,105,56,15,0.1298744766024447,48,0.9882583170254403,15.885009288787842,48,"[72, 121, 424, 496, 541, 579, 584, 587, 588, 623, 885, 1074, 1130, 1209, 1280, 1281, 1302, 1363, 1424, 1523, 1527, 1597, 1638, 1639, 1761, 1809, 1825, 1854, 2026, 2094, 2241, 2264, 2528, 2563, 2873, 3103, 3104, 3225, 3310, 3464, 3754, 3770, 3781, 3949, 3997, 4002, 4003, 4046]",0.01,63,lasso_cv
64,106,56,15,0.2308470109327271,53,0.9870352250489237,14.334168195724487,53,"[64, 72, 74, 230, 243, 244, 277, 314, 414, 418, 579, 584, 623, 787, 911, 1068, 1100, 1105, 1130, 1280, 1363, 1489, 1523, 1639, 1761, 1765, 1801, 1809, 1842, 1875, 2026, 2115, 2116, 2141, 2264, 2344, 2491, 2505, 2563, 2627, 2631, 2873, 2905, 3083, 3229, 3275, 3378, 3464, 3770, 3949, 3997, 4003, 4069]",0.01,64,lasso_cv
65,107,56,15,0.2512102641603946,47,0.9885029354207436,22.87924337387085,47,"[58, 72, 281, 555, 584, 597, 653, 941, 1103, 1122, 1130, 1193, 1296, 1424, 1477, 1478, 1501, 1515, 1524, 1602, 1638, 1639, 1761, 1854, 1890, 1936, 1959, 2026, 2089, 2241, 2317, 2344, 2563, 2738, 2873, 2935, 3103, 3310, 3365, 3402, 3668, 3738, 3751, 4002, 4003, 4017, 4043]",0.01,65,lasso_cv
66,108,56,15,0.20133448087965608,53,0.9870352250489237,12.754164457321167,53,"[72, 74, 133, 166, 229, 243, 281, 313, 364, 418, 584, 597, 623, 941, 1130, 1278, 1280, 1281, 1296, 1363, 1424, 1523, 1635, 1639, 1761, 1801, 1826, 1858, 1868, 2026, 2094, 2116, 2241, 2264, 2344, 2473, 2556, 2563, 2873, 3076, 3083, 3103, 3104, 3152, 3225, 3464, 3514, 3524, 3835, 3949, 4002, 4044, 4046]",0.01,66,lasso_cv
67,109,56,15,0.6739324154504036,17,0.9958414872798435,20.67260718345642,17,"[72, 554, 556, 651, 1122, 1277, 1296, 1311, 1501, 1515, 1639, 1826, 1959, 2873, 3310, 4003, 4007]",0.1,67,lasso_cv
68,110,56,15,0.561064970724581,23,0.9943737769080235,17.217543125152588,23,"[1122, 1207, 1296, 1302, 1308, 1311, 1479, 1502, 1503, 1515, 1584, 1587, 1638, 1761, 1959, 2317, 2563, 2771, 2873, 3147, 3310, 4002, 4003]",0.1,68,lasso_cv
69,111,56,15,0.28289306865853264,45,0.9889921722113503,22.435359716415405,45,"[58, 72, 281, 418, 527, 555, 653, 925, 971, 1064, 1122, 1209, 1278, 1296, 1424, 1478, 1500, 1501, 1515, 1524, 1638, 1761, 1826, 1854, 1856, 1936, 1959, 2026, 2241, 2304, 2449, 2451, 2469, 2563, 2771, 2873, 2935, 3225, 3478, 3666, 3738, 3960, 4002, 4003, 4074]",0.01,69,lasso_cv
70,112,56,15,0.22920336855344958,23,0.9943737769080235,16.281364917755127,23,"[72, 414, 623, 824, 973, 985, 1122, 1277, 1280, 1281, 1296, 1424, 1638, 1639, 1819, 1826, 2094, 2473, 2563, 3225, 3513, 3807, 4002]",0.1,70,lasso_cv
71,113,56,15,0.3721755768482201,52,0.987279843444227,15.146311283111572,52,"[58, 72, 121, 149, 228, 281, 623, 832, 833, 971, 973, 1094, 1130, 1175, 1278, 1280, 1355, 1363, 1424, 1502, 1525, 1635, 1638, 1647, 1761, 1801, 1826, 1854, 1959, 2026, 2161, 2183, 2289, 2461, 2563, 2693, 2873, 2935, 3076, 3108, 3151, 3310, 3513, 3514, 3538, 3807, 3846, 3904, 3949, 3961, 4002, 4022]",0.01,71,lasso_cv
72,114,56,15,0.4494871686141729,25,0.9938845401174168,13.200297832489014,25,"[414, 623, 691, 826, 1130, 1277, 1281, 1296, 1302, 1311, 1424, 1479, 1502, 1527, 1584, 1587, 1761, 1995, 2563, 3225, 3310, 3513, 3846, 4002, 4003]",0.1,72,lasso_cv
73,115,56,15,0.4988615003731934,18,0.9955968688845401,15.841629028320312,18,"[75, 555, 556, 1122, 1278, 1296, 1302, 1502, 1515, 1523, 1587, 1638, 1761, 2563, 2771, 2873, 3310, 4002]",0.1,73,lasso_cv
74,116,56,15,0.2770142166732947,52,0.987279843444227,14.550230026245117,52,"[11, 72, 243, 296, 314, 553, 607, 623, 682, 824, 858, 985, 1130, 1206, 1209, 1281, 1307, 1363, 1477, 1523, 1527, 1584, 1635, 1638, 1639, 1761, 1826, 1874, 1985, 2026, 2139, 2183, 2241, 2344, 2461, 2563, 2738, 2873, 3102, 3188, 3198, 3225, 3254, 3490, 3513, 3538, 3609, 3841, 3854, 3904, 4003, 4011]",0.01,74,lasso_cv
75,117,56,15,0.4662446588901137,49,0.988013698630137,15.370609760284424,49,"[72, 149, 243, 258, 280, 281, 505, 555, 568, 595, 597, 653, 858, 947, 1201, 1207, 1278, 1478, 1524, 1587, 1592, 1714, 1761, 1819, 1826, 1854, 1874, 1936, 1959, 2022, 2026, 2087, 2241, 2304, 2438, 2563, 2693, 2873, 2935, 3205, 3290, 3561, 3668, 3738, 3925, 3936, 3949, 4002, 4074]",0.01,75,lasso_cv
76,118,56,15,0.14964736426965972,26,0.9936399217221135,18.16307306289673,26,"[142, 307, 414, 623, 973, 1122, 1278, 1282, 1296, 1311, 1424, 1515, 1638, 1745, 1826, 1995, 2026, 2094, 2473, 2563, 3104, 3225, 3507, 3513, 4002, 4003]",0.1,76,lasso_cv
77,119,56,15,0.18975606232991257,49,0.988013698630137,17.401946306228638,49,"[72, 243, 280, 281, 553, 555, 651, 764, 767, 885, 1031, 1064, 1100, 1130, 1209, 1302, 1363, 1418, 1515, 1638, 1639, 1761, 1809, 1854, 1936, 1959, 2026, 2033, 2089, 2094, 2241, 2253, 2344, 2533, 2563, 2627, 2738, 2741, 2814, 2873, 2935, 3104, 3668, 3770, 3893, 3949, 4003, 4043, 4072]",0.01,77,lasso_cv
78,120,56,15,0.14863965846095015,50,0.9877690802348337,16.268327236175537,50,"[21, 63, 72, 243, 414, 579, 588, 623, 653, 858, 896, 961, 1081, 1100, 1130, 1206, 1209, 1294, 1302, 1363, 1424, 1515, 1584, 1597, 1635, 1638, 1693, 1761, 1819, 1854, 2026, 2115, 2116, 2264, 2461, 2473, 2563, 2693, 2989, 3103, 3225, 3310, 3407, 3490, 3555, 3754, 3904, 4002, 4003, 4047]",0.01,78,lasso_cv
79,121,56,15,0.2659221783207244,44,0.9892367906066536,12.656705856323242,44,"[72, 121, 149, 281, 320, 414, 541, 623, 858, 869, 1074, 1094, 1130, 1280, 1283, 1289, 1293, 1523, 1527, 1638, 1639, 1761, 1801, 1809, 1848, 1874, 1959, 2026, 2344, 2469, 2563, 2931, 2935, 3104, 3225, 3310, 3378, 3666, 3720, 3738, 3841, 3904, 4002, 4003]",0.01,79,lasso_cv
80,122,56,15,0.3042463460743748,66,0.9838551859099804,18.098772764205933,66,"[58, 67, 121, 143, 281, 404, 424, 505, 533, 553, 555, 584, 597, 603, 767, 856, 860, 885, 947, 971, 1064, 1100, 1130, 1296, 1302, 1315, 1371, 1501, 1515, 1524, 1527, 1638, 1693, 1761, 1809, 1811, 1854, 1959, 2026, 2094, 2241, 2302, 2324, 2344, 2444, 2473, 2563, 2600, 2669, 2689, 2738, 2741, 2825, 2873, 2887, 2935, 3083, 3299, 3358, 3532, 3561, 3666, 3667, 3695, 3770, 4003]",0.001,80,lasso_cv
81,123,56,15,0.2930391122750708,51,0.9875244618395304,14.996389150619507,51,"[11, 63, 72, 230, 329, 363, 595, 623, 653, 690, 791, 946, 1100, 1130, 1193, 1209, 1238, 1280, 1296, 1302, 1387, 1424, 1588, 1593, 1635, 1638, 1761, 1772, 1868, 2026, 2176, 2278, 2563, 2873, 2922, 2928, 3054, 3103, 3104, 3254, 3267, 3312, 3513, 3514, 3904, 3916, 3922, 4002, 4017, 4046, 4074]",0.01,81,lasso_cv
82,124,56,15,0.28904984450029414,48,0.9882583170254403,13.095748901367188,48,"[11, 32, 33, 40, 72, 74, 243, 363, 410, 414, 623, 858, 941, 947, 1064, 1074, 1130, 1209, 1278, 1280, 1281, 1424, 1761, 1819, 1854, 1856, 1959, 2454, 2473, 2563, 2564, 2863, 2873, 3054, 3174, 3225, 3310, 3513, 3667, 3860, 3904, 3922, 3998, 3999, 4002, 4044, 4046, 4074]",0.01,82,lasso_cv
83,125,56,15,0.31602115720069485,25,0.9938845401174168,16.16198706626892,25,"[132, 287, 623, 627, 953, 973, 976, 1130, 1282, 1302, 1311, 1424, 1477, 1515, 1635, 1638, 1826, 1959, 2563, 3104, 3275, 3310, 3464, 3513, 4002]",0.1,83,lasso_cv
84,126,56,15,0.1468299426830634,49,0.988013698630137,14.284600734710693,49,"[11, 63, 72, 74, 133, 363, 597, 623, 858, 869, 896, 1064, 1130, 1209, 1278, 1285, 1302, 1400, 1424, 1485, 1584, 1635, 1638, 1714, 1761, 1854, 2026, 2305, 2528, 2563, 3103, 3104, 3225, 3378, 3464, 3478, 3524, 3649, 3667, 3835, 3841, 3846, 3904, 3922, 4002, 4017, 4046, 4069, 4074]",0.01,84,lasso_cv
85,127,56,15,0.1862676287858516,28,0.9931506849315068,14.91143536567688,28,"[72, 141, 314, 623, 1122, 1282, 1302, 1311, 1424, 1489, 1515, 1635, 1638, 1639, 1761, 1826, 1856, 1995, 2026, 2094, 2563, 3225, 3310, 3513, 3846, 4002, 4003, 4074]",0.1,85,lasso_cv
86,128,56,15,0.2582117203239032,48,0.9882583170254403,16.66959238052368,48,"[64, 72, 314, 414, 584, 623, 858, 1074, 1130, 1282, 1285, 1287, 1294, 1363, 1441, 1515, 1584, 1587, 1639, 1761, 1801, 1826, 1854, 1935, 2010, 2026, 2094, 2241, 2264, 2304, 2454, 2473, 2528, 2563, 2873, 3073, 3103, 3104, 3225, 3310, 3378, 3532, 3835, 3904, 3961, 4002, 4003, 4044]",0.01,86,lasso_cv
87,129,56,15,0.6114606779698576,18,0.9955968688845401,14.33325982093811,18,"[141, 314, 414, 623, 826, 973, 1281, 1302, 1479, 1527, 1587, 1647, 1761, 1819, 2563, 3287, 3846, 4002]",0.1,87,lasso_cv
88,130,56,15,0.37705999413222974,47,0.9885029354207436,17.5289306640625,47,"[59, 75, 132, 258, 308, 314, 584, 606, 759, 785, 791, 858, 890, 922, 953, 973, 1122, 1130, 1293, 1296, 1302, 1363, 1515, 1524, 1587, 1638, 1809, 1848, 1959, 2026, 2241, 2304, 2317, 2344, 2469, 2563, 2873, 2919, 2935, 3464, 3478, 3738, 3835, 3846, 4002, 4003, 4072]",0.01,88,lasso_cv
89,131,56,15,0.4036852391361846,45,0.9889921722113503,16.7365460395813,45,"[37, 72, 133, 243, 281, 475, 539, 555, 568, 584, 604, 683, 947, 1122, 1130, 1207, 1209, 1278, 1296, 1501, 1515, 1761, 1809, 1826, 1832, 1854, 1959, 2022, 2026, 2241, 2304, 2454, 2563, 2693, 2873, 2935, 3205, 3310, 3561, 3666, 3904, 3925, 4002, 4003, 4074]",0.01,89,lasso_cv
90,132,56,15,0.1537772326946296,51,0.9875244618395304,15.017109394073486,51,"[63, 72, 124, 166, 215, 280, 414, 418, 512, 623, 653, 858, 1100, 1122, 1130, 1132, 1193, 1206, 1209, 1293, 1311, 1363, 1523, 1524, 1527, 1584, 1597, 1693, 1761, 1825, 1826, 1874, 2026, 2033, 2115, 2241, 2461, 2563, 2873, 3102, 3103, 3104, 3225, 3234, 3310, 3513, 3781, 3997, 3998, 4002, 4003]",0.01,90,lasso_cv
91,133,56,15,0.16234642971665478,47,0.9885029354207436,17.025489807128906,47,"[11, 58, 72, 330, 496, 595, 623, 653, 858, 911, 973, 985, 1100, 1130, 1280, 1307, 1363, 1441, 1515, 1523, 1584, 1597, 1635, 1638, 1639, 1663, 1761, 1948, 2026, 2182, 2264, 2305, 2344, 2461, 2563, 2873, 3102, 3104, 3225, 3229, 3320, 3322, 3534, 3609, 3754, 4003, 4017]",0.01,91,lasso_cv
92,134,56,15,0.6980570878911593,23,0.9943737769080235,19.754639863967896,23,"[68, 72, 554, 558, 1122, 1193, 1258, 1296, 1501, 1503, 1515, 1523, 1638, 1639, 1809, 1826, 1995, 2873, 3310, 3513, 4002, 4003, 4074]",0.1,92,lasso_cv
93,135,56,15,0.39831928110223147,54,0.9867906066536204,17.758262634277344,54,"[32, 72, 124, 537, 623, 858, 1094, 1130, 1206, 1209, 1250, 1276, 1282, 1305, 1307, 1363, 1424, 1515, 1523, 1584, 1635, 1647, 1663, 1761, 1959, 2026, 2115, 2183, 2278, 2344, 2388, 2391, 2461, 2473, 2563, 2648, 2693, 2935, 3073, 3102, 3104, 3187, 3225, 3254, 3272, 3310, 3378, 3490, 3513, 3538, 3904, 3949, 3999, 4003]",0.01,93,lasso_cv
94,136,56,15,0.19593878623219604,48,0.9882583170254403,16.269049406051636,48,"[11, 72, 243, 287, 314, 414, 418, 584, 623, 713, 858, 1130, 1207, 1283, 1302, 1363, 1424, 1527, 1584, 1597, 1635, 1761, 1819, 1825, 1848, 1856, 1920, 2026, 2115, 2116, 2241, 2304, 2344, 2473, 2563, 2627, 2873, 3103, 3104, 3234, 3595, 3751, 3770, 3860, 3904, 3964, 3998, 4003]",0.01,94,lasso_cv
95,137,56,15,0.348379897724638,20,0.9951076320939335,17.231411933898926,20,"[623, 826, 1209, 1277, 1282, 1296, 1479, 1502, 1515, 1638, 1647, 1761, 1826, 1995, 2026, 2563, 2873, 3310, 3513, 4002]",0.1,95,lasso_cv
96,138,56,15,0.2193999191433284,50,0.9877690802348337,16.76419496536255,50,"[58, 64, 72, 228, 243, 281, 579, 623, 702, 896, 1130, 1280, 1281, 1302, 1337, 1363, 1424, 1441, 1523, 1584, 1638, 1660, 1761, 1809, 1836, 1850, 1854, 1858, 1875, 1912, 1959, 2026, 2289, 2461, 2483, 2563, 2716, 3188, 3273, 3310, 3378, 3513, 3744, 3904, 3961, 4002, 4003, 4022, 4046, 4070]",0.01,96,lasso_cv
97,139,56,15,0.24343382349543136,48,0.9882583170254403,11.44532299041748,48,"[143, 281, 287, 330, 584, 623, 858, 896, 1064, 1074, 1122, 1130, 1193, 1207, 1209, 1278, 1315, 1424, 1441, 1638, 1639, 1761, 1825, 1826, 1848, 1854, 1890, 2026, 2116, 2264, 2302, 2563, 2814, 3054, 3103, 3152, 3310, 3378, 3478, 3513, 3524, 3631, 3904, 3922, 4002, 4069, 4071, 4074]",0.01,97,lasso_cv
98,140,56,15,0.2344229714930313,25,0.9938845401174168,14.852571964263916,25,"[68, 69, 72, 414, 623, 826, 973, 1122, 1130, 1259, 1277, 1281, 1302, 1424, 1523, 1638, 1819, 2026, 2094, 2563, 3225, 3310, 3513, 4002, 4003]",0.1,98,lasso_cv
99,141,56,15,0.0784855439374515,53,0.9870352250489237,19.507218837738037,53,"[33, 58, 72, 244, 364, 541, 623, 653, 858, 896, 973, 1094, 1107, 1130, 1206, 1302, 1363, 1424, 1502, 1527, 1584, 1635, 1638, 1761, 1801, 1809, 1825, 1826, 1854, 1959, 2026, 2241, 2344, 2483, 2563, 2653, 2873, 3103, 3104, 3225, 3310, 3322, 3464, 3477, 3478, 3513, 3668, 3841, 3904, 3961, 3964, 4002, 4069]",0.01,99,lasso_cv
