repeat,sigma,method,mse,tpr,fdr,f1,n_selected
0,0.5,1. UniLasso (基准),35.4753995096363,0.06,0.0,0.11320754716981131,6
0,0.5,2. 软约束,35.73635565507557,0.05,0.0,0.09523809523809523,5
0,0.5,3. 软约束+自适应惩罚,35.73635565507557,0.05,0.0,0.09523809523809523,5
0,0.5,4. 软约束+组约束,42.88035832269011,0.04,0.0,0.07692307692307693,4
0,0.5,5. 完整XLasso,42.88035832269011,0.04,0.0,0.07692307692307693,4
0,1.0,1. UniLasso (基准),40.98585546917733,0.07,0.2222222222222222,0.12844036697247707,9
0,1.0,2. 软约束,100.91503280491246,0.0,0.0,0.0,0
0,1.0,3. 软约束+自适应惩罚,100.91503280491246,0.0,0.0,0.0,0
0,1.0,4. 软约束+组约束,100.91503280491246,0.0,0.0,0.0,0
0,1.0,5. 完整XLasso,100.91503280491246,0.0,0.0,0.0,0
0,2.5,1. UniLasso (基准),46.071033119925985,0.07,0.36363636363636365,0.12612612612612614,11
0,2.5,2. 软约束,81.84468295883431,0.03,0.0,0.058252427184466014,3
0,2.5,3. 软约束+自适应惩罚,81.84468295883431,0.03,0.0,0.058252427184466014,3
0,2.5,4. 软约束+组约束,81.84468295883431,0.03,0.0,0.058252427184466014,3
0,2.5,5. 完整XLasso,81.84468295883431,0.03,0.0,0.058252427184466014,3
1,0.5,1. UniLasso (基准),35.112342191564835,0.07,0.3,0.1272727272727273,10
1,0.5,2. 软约束,100.04737602733502,0.0,0.0,0.0,0
1,0.5,3. 软约束+自适应惩罚,100.04737602733502,0.0,0.0,0.0,0
1,0.5,4. 软约束+组约束,100.04737602733502,0.0,0.0,0.0,0
1,0.5,5. 完整XLasso,100.04737602733502,0.0,0.0,0.0,0
1,1.0,1. UniLasso (基准),31.1364324992481,0.05,0.0,0.09523809523809523,5
1,1.0,2. 软约束,29.309744576037307,0.06,0.0,0.11320754716981131,6
1,1.0,3. 软约束+自适应惩罚,29.309744576037307,0.06,0.0,0.11320754716981131,6
1,1.0,4. 软约束+组约束,29.309744576037307,0.06,0.0,0.11320754716981131,6
1,1.0,5. 完整XLasso,29.309744576037307,0.06,0.0,0.11320754716981131,6
1,2.5,1. UniLasso (基准),35.44037269487881,0.04,0.0,0.07692307692307693,4
1,2.5,2. 软约束,33.43836089995374,0.06,0.0,0.11320754716981131,6
1,2.5,3. 软约束+自适应惩罚,33.43836089995374,0.06,0.0,0.11320754716981131,6
1,2.5,4. 软约束+组约束,33.43836089995374,0.06,0.0,0.11320754716981131,6
1,2.5,5. 完整XLasso,33.43836089995374,0.06,0.0,0.11320754716981131,6
2,0.5,1. UniLasso (基准),30.629007568929264,0.05,0.0,0.09523809523809523,5
2,0.5,2. 软约束,28.871077772395342,0.06,0.0,0.11320754716981131,6
2,0.5,3. 软约束+自适应惩罚,28.871077772395342,0.06,0.0,0.11320754716981131,6
2,0.5,4. 软约束+组约束,28.871077772395342,0.06,0.0,0.11320754716981131,6
2,0.5,5. 完整XLasso,28.871077772395342,0.06,0.0,0.11320754716981131,6
2,1.0,1. UniLasso (基准),58.29916045273512,0.06,0.0,0.11320754716981131,6
2,1.0,2. 软约束,62.19621486918979,0.05,0.0,0.09523809523809523,5
2,1.0,3. 软约束+自适应惩罚,62.19621486918979,0.05,0.0,0.09523809523809523,5
2,1.0,4. 软约束+组约束,62.19621486918979,0.05,0.0,0.09523809523809523,5
2,1.0,5. 完整XLasso,62.19621486918979,0.05,0.0,0.09523809523809523,5
2,2.5,1. UniLasso (基准),63.11055368819091,0.06,0.0,0.11320754716981131,6
2,2.5,2. 软约束,69.21930039070345,0.04,0.0,0.07692307692307693,4
2,2.5,3. 软约束+自适应惩罚,69.21930039070345,0.04,0.0,0.07692307692307693,4
2,2.5,4. 软约束+组约束,69.21930039070345,0.04,0.0,0.07692307692307693,4
2,2.5,5. 完整XLasso,69.21930039070345,0.04,0.0,0.07692307692307693,4
3,0.5,1. UniLasso (基准),55.1407355605192,0.07,0.0,0.13084112149532712,7
3,0.5,2. 软约束,61.44715586494407,0.06,0.0,0.11320754716981131,6
3,0.5,3. 软约束+自适应惩罚,61.44715586494407,0.06,0.0,0.11320754716981131,6
3,0.5,4. 软约束+组约束,61.44715586494407,0.06,0.0,0.11320754716981131,6
3,0.5,5. 完整XLasso,61.44715586494407,0.06,0.0,0.11320754716981131,6
3,1.0,1. UniLasso (基准),39.11765532138913,0.03,0.0,0.058252427184466014,3
3,1.0,2. 软约束,37.58054405141421,0.04,0.2,0.07619047619047618,5
3,1.0,3. 软约束+自适应惩罚,37.58054405141421,0.04,0.2,0.07619047619047618,5
3,1.0,4. 软约束+组约束,40.104285922897624,0.06,0.14285714285714285,0.11214953271028036,7
3,1.0,5. 完整XLasso,40.104285922897624,0.06,0.14285714285714285,0.11214953271028036,7
3,2.5,1. UniLasso (基准),47.349553802037306,0.02,0.0,0.0392156862745098,2
3,2.5,2. 软约束,45.312321215099196,0.04,0.2,0.07619047619047618,5
3,2.5,3. 软约束+自适应惩罚,45.312321215099196,0.04,0.2,0.07619047619047618,5
3,2.5,4. 软约束+组约束,48.91224067469368,0.05,0.16666666666666666,0.09433962264150944,6
3,2.5,5. 完整XLasso,48.91224067469368,0.05,0.16666666666666666,0.09433962264150944,6
4,0.5,1. UniLasso (基准),37.318137269113286,0.03,0.0,0.058252427184466014,3
4,0.5,2. 软约束,35.94402094015754,0.04,0.2,0.07619047619047618,5
4,0.5,3. 软约束+自适应惩罚,35.94402094015754,0.04,0.2,0.07619047619047618,5
4,0.5,4. 软约束+组约束,42.51520924019201,0.05,0.16666666666666666,0.09433962264150944,6
4,0.5,5. 完整XLasso,42.51520924019201,0.05,0.16666666666666666,0.09433962264150944,6
4,1.0,1. UniLasso (基准),39.433238900064424,0.03,0.0,0.058252427184466014,3
4,1.0,2. 软约束,35.59629796825774,0.05,0.16666666666666666,0.09433962264150944,6
4,1.0,3. 软约束+自适应惩罚,35.59629796825774,0.05,0.16666666666666666,0.09433962264150944,6
4,1.0,4. 软约束+组约束,35.59629796825774,0.05,0.16666666666666666,0.09433962264150944,6
4,1.0,5. 完整XLasso,35.59629796825774,0.05,0.16666666666666666,0.09433962264150944,6
4,2.5,1. UniLasso (基准),45.40019199603036,0.03,0.0,0.058252427184466014,3
4,2.5,2. 软约束,41.10923144397549,0.05,0.16666666666666666,0.09433962264150944,6
4,2.5,3. 软约束+自适应惩罚,41.10923144397549,0.05,0.16666666666666666,0.09433962264150944,6
4,2.5,4. 软约束+组约束,41.10923144397549,0.05,0.16666666666666666,0.09433962264150944,6
4,2.5,5. 完整XLasso,41.10923144397549,0.05,0.16666666666666666,0.09433962264150944,6
5,0.5,1. UniLasso (基准),37.79342620646497,0.03,0.0,0.058252427184466014,3
5,0.5,2. 软约束,34.62699347825603,0.06,0.14285714285714285,0.11214953271028036,7
5,0.5,3. 软约束+自适应惩罚,34.62699347825603,0.06,0.14285714285714285,0.11214953271028036,7
5,0.5,4. 软约束+组约束,34.62699347825603,0.06,0.14285714285714285,0.11214953271028036,7
5,0.5,5. 完整XLasso,34.62699347825603,0.06,0.14285714285714285,0.11214953271028036,7
5,1.0,1. UniLasso (基准),47.79343054457374,0.03,0.0,0.058252427184466014,3
5,1.0,2. 软约束,42.037004531903534,0.09,0.0,0.16513761467889906,9
5,1.0,3. 软约束+自适应惩罚,42.037004531903534,0.09,0.0,0.16513761467889906,9
5,1.0,4. 软约束+组约束,42.037004531903534,0.09,0.0,0.16513761467889906,9
5,1.0,5. 完整XLasso,42.037004531903534,0.09,0.0,0.16513761467889906,9
5,2.5,1. UniLasso (基准),53.731835736303886,0.02,0.0,0.0392156862745098,2
5,2.5,2. 软约束,47.39573977411992,0.07,0.2222222222222222,0.12844036697247707,9
5,2.5,3. 软约束+自适应惩罚,47.39573977411992,0.07,0.2222222222222222,0.12844036697247707,9
5,2.5,4. 软约束+组约束,47.39573977411992,0.07,0.2222222222222222,0.12844036697247707,9
5,2.5,5. 完整XLasso,47.39573977411992,0.07,0.2222222222222222,0.12844036697247707,9
6,0.5,1. UniLasso (基准),46.39076087259137,0.03,0.0,0.058252427184466014,3
6,0.5,2. 软约束,41.17621455432578,0.09,0.0,0.16513761467889906,9
6,0.5,3. 软约束+自适应惩罚,41.17621455432578,0.09,0.0,0.16513761467889906,9
6,0.5,4. 软约束+组约束,41.17621455432578,0.09,0.0,0.16513761467889906,9
6,0.5,5. 完整XLasso,41.17621455432578,0.09,0.0,0.16513761467889906,9
6,1.0,1. UniLasso (基准),35.38270068128853,0.15,0.11764705882352941,0.25641025641025644,17
6,1.0,2. 软约束,128.52638142130564,0.0,0.0,0.0,0
6,1.0,3. 软约束+自适应惩罚,128.52638142130564,0.0,0.0,0.0,0
6,1.0,4. 软约束+组约束,128.1862989955584,0.0,0.0,0.0,0
6,1.0,5. 完整XLasso,128.1862989955584,0.0,0.0,0.0,0
6,2.5,1. UniLasso (基准),48.76816302037536,0.13,0.07142857142857142,0.22807017543859648,14
6,2.5,2. 软约束,137.2218961919828,0.0,0.0,0.0,0
6,2.5,3. 软约束+自适应惩罚,137.2218961919828,0.0,0.0,0.0,0
6,2.5,4. 软约束+组约束,136.588344290249,0.0,0.0,0.0,0
6,2.5,5. 完整XLasso,136.588344290249,0.0,0.0,0.0,0
7,0.5,1. UniLasso (基准),32.23514777530701,0.16,0.1111111111111111,0.27118644067796616,18
7,0.5,2. 软约束,126.81232542660733,0.0,0.0,0.0,0
7,0.5,3. 软约束+自适应惩罚,126.81232542660733,0.0,0.0,0.0,0
7,0.5,4. 软约束+组约束,,0.0,0.0,0.0,0
7,0.5,5. 完整XLasso,,0.0,0.0,0.0,0
7,1.0,1. UniLasso (基准),53.48569959748256,0.03,0.0,0.058252427184466014,3
7,1.0,2. 软约束,47.95344649586115,0.06,0.25,0.1111111111111111,8
7,1.0,3. 软约束+自适应惩罚,47.95344649586115,0.06,0.25,0.1111111111111111,8
7,1.0,4. 软约束+组约束,61.1725248413369,0.0,0.0,0.0,0
7,1.0,5. 完整XLasso,61.1725248413369,0.0,0.0,0.0,0
7,2.5,1. UniLasso (基准),60.46225500414245,0.03,0.0,0.058252427184466014,3
7,2.5,2. 软约束,54.66905011751375,0.06,0.4,0.1090909090909091,10
7,2.5,3. 软约束+自适应惩罚,54.66905011751375,0.06,0.4,0.1090909090909091,10
7,2.5,4. 软约束+组约束,67.88004759854748,0.0,0.0,0.0,0
7,2.5,5. 完整XLasso,67.88004759854748,0.0,0.0,0.0,0
8,0.5,1. UniLasso (基准),46.84842043548449,0.07,0.2222222222222222,0.12844036697247707,9
8,0.5,2. 软约束,45.82335289212352,0.09,0.25,0.16071428571428573,12
8,0.5,3. 软约束+自适应惩罚,45.82335289212352,0.09,0.25,0.16071428571428573,12
8,0.5,4. 软约束+组约束,59.97988314524485,0.0,0.0,0.0,0
8,0.5,5. 完整XLasso,59.97988314524485,0.0,0.0,0.0,0
8,1.0,1. UniLasso (基准),44.681597621586626,0.12,0.2,0.20869565217391303,15
8,1.0,2. 软约束,43.9552653948815,0.13,0.23529411764705882,0.22222222222222224,17
8,1.0,3. 软约束+自适应惩罚,43.9552653948815,0.13,0.23529411764705882,0.22222222222222224,17
8,1.0,4. 软约束+组约束,70.62917850989321,0.01,0.0,0.019801980198019802,1
8,1.0,5. 完整XLasso,70.62917850989321,0.01,0.0,0.019801980198019802,1
8,2.5,1. UniLasso (基准),51.65408782475036,0.11,0.26666666666666666,0.19130434782608696,15
8,2.5,2. 软约束,50.243440467206135,0.11,0.26666666666666666,0.19130434782608696,15
8,2.5,3. 软约束+自适应惩罚,50.243440467206135,0.11,0.26666666666666666,0.19130434782608696,15
8,2.5,4. 软约束+组约束,74.14259708208346,0.02,0.0,0.0392156862745098,2
8,2.5,5. 完整XLasso,74.14259708208346,0.02,0.0,0.0392156862745098,2
9,0.5,1. UniLasso (基准),45.93904475804146,0.12,0.14285714285714285,0.21052631578947367,14
9,0.5,2. 软约束,43.623260819770586,0.13,0.1875,0.22413793103448276,16
9,0.5,3. 软约束+自适应惩罚,43.623260819770586,0.13,0.1875,0.22413793103448276,16
9,0.5,4. 软约束+组约束,68.52074254636484,0.01,0.0,0.019801980198019802,1
9,0.5,5. 完整XLasso,68.52074254636484,0.01,0.0,0.019801980198019802,1
9,1.0,1. UniLasso (基准),51.23563817803526,0.1,0.0,0.18181818181818182,10
9,1.0,2. 软约束,65.08510759257904,0.05,0.0,0.09523809523809523,5
9,1.0,3. 软约束+自适应惩罚,65.08510759257904,0.05,0.0,0.09523809523809523,5
9,1.0,4. 软约束+组约束,65.08510759257904,0.05,0.0,0.09523809523809523,5
9,1.0,5. 完整XLasso,65.08510759257904,0.05,0.0,0.09523809523809523,5
9,2.5,1. UniLasso (基准),57.52265635053501,0.09,0.0,0.16513761467889906,9
9,2.5,2. 软约束,70.35071748372222,0.05,0.0,0.09523809523809523,5
9,2.5,3. 软约束+自适应惩罚,70.35071748372222,0.05,0.0,0.09523809523809523,5
9,2.5,4. 软约束+组约束,70.35071748372222,0.05,0.0,0.09523809523809523,5
9,2.5,5. 完整XLasso,70.35071748372222,0.05,0.0,0.09523809523809523,5
